O	10	名	一半	tsi̍t-puànn					買/果子/的/錢/，/一/人/愛/出/一半/。	買水果的錢，一人要出一半。	1.【名】二分之一。例：買果子的錢，一人愛出一半。Bé kué-tsí ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn. (買水果的錢，一人要出一半。)　											
O	10	形	一半	tsi̍t-puànn					塗跤/一半/擺/仔/無/拭/，/袂/偌/垃圾/啦/！	地板一兩次沒擦，不會多髒啦！	2.【形】表示次數很少。例：塗跤一半擺仔無拭，袂偌垃圾啦！Thôo-kha tsi̍t-puànn-pái-á bô tshit, bē guā lah-sap--lah! (地板一兩次沒擦，不會多髒啦！)　											
O	11	名	一半个仔	tsi̍t-puànn-ê-á					有/一半个仔/人客/真/𠢕/嫌/東/嫌/西/。	有一兩個客人很會嫌東嫌西。	【名】幾個、一兩個、少數幾個。例：有一半个仔人客真𠢕嫌東嫌西。Ū tsi̍t-puànn-ê-á lâng-kheh tsin gâu hiâm-tang-hiâm-sai. (有一兩個客人很會嫌東嫌西。)　											
O	12	熟	一半日仔	tsi̍t-puànn-ji̍t-á/tsi̍t-puànn-li̍t-á					頭家/人/真/好/，/我/一半日仔/無去/，/伊/嘛/袂/按怎/。	老闆人真好，我一兩天沒去，他也不會怎樣。	【熟】一兩天。例：頭家人真好，我一半日仔無去，伊嘛袂按怎。Thâu-ke lâng tsin hó, guá tsi̍t-puànn-ji̍t-á bô khì, i mā bē án-tsuánn. (老闆人真好，我一兩天沒去，他也不會怎樣。)　											
O	13	副	一四界	tsi̍t-sì-kè/tsi̍t-sì-kuè			滿四界、滿滿是		物件/毋通/掖/甲/一四界/。	東西不要撒得滿地都是。	【副】遍地、到處。例：物件毋通掖甲一四界。Mi̍h-kiānn m̄-thang iā kah tsi̍t-sì-kè. (東西不要撒得滿地都是。)　											
O	14	副	一旦	it-tàn					一旦/地動/，/彼/間/厝/就/會/倒/。	一旦地震，那間房子就會倒。	1.【副】假使有一天。例：一旦地動，彼間厝就會倒。It-tàn tē-tāng, hit king tshù tō ē tó. (一旦地震，那間房子就會倒。)　											
O	15	形	一生	it-sing			一世人、規世人、透世人		做/教授/是/我/一生/的/願望/。	當教授是我一生的願望。	1.【形】畢生的、一輩子的。例：做教授是我一生的願望。Tsò kàu-siū sī guá it-sing ê guān-bōng. (當教授是我一生的願望。)　											
O	15	名	一生	it-sing			一世人、規世人、透世人		你/毋通/放蕩/過/一生/。	你不要放蕩過一生。	2.【名】畢生、一輩子。例：你毋通放蕩過一生。Lí m̄-thang hòng-tōng kuè it-sing. (你不要放蕩過一生。)　											
O	16	時	一目𥍉仔	tsi̍t-ba̍k-nih-á			一霎仔久		對/阮/厝/到/公/司/，/行路/一目𥍉仔/就/到/矣/。	從我家裡到公司，走路只要一眨眼的時間就可以到了。	【時】一瞬間、一眨眼。指很短暫的時間。例：對阮厝到公司，行路一目𥍉仔就到矣。Tuì guán tshù kàu kong-si, kiânn-lōo tsi̍t-ba̍k-nih-á tō kàu--ah. (從我家裡到公司，走路只要一眨眼的時間就可以到了。)　一目𥍉仔大學四年就過去矣。Tsi̍t-ba̍k-nih--ah tāi-ha̍k sì-nî tō kuè-khì--ah. (一轉眼大學四年就過去了。)　											
O	19	副	一來	it--lâi			首先		一來/我/無/時間/，/二/來/我/無/興趣/，/所以/我/無/欲/參加/。	一來我沒時間，二來我沒興趣，所以我沒有要參加。	【副】首先。例：一來我無時間，二來我無興趣，所以我無欲參加。It--lâi guá bô sî-kan, jī--lâi guá bô hìng-tshù, só-í guá bô beh tsham-ka. (一來我沒時間，二來我沒興趣，所以我沒有要參加。)　											
X	20	副	一定	it-tīng					你/講/過/的/話/，/一/定/愛/會記得/。	你說過的話一定要記得。	1.【副】必定、必然。例：你講過的話，一定愛會記得。Lí kóng--kuè ê uē, it-tīng ài ē-kì--tit. (你說過的話一定要記得。)　[近]包穩、必然											
X	20	形	一定	it-tīng					伊/食/飯/攏/無一定/的/時間/。	他吃飯時間不固定。	2.【形】固定的。例：伊食飯攏無一定的時間。I tsiah-pn̄g lóng bô it-tīng ê sî-kan. (他吃飯時間不固定。)　											
O	21	副	一直	it-ti̍t					一直/向前/行/，/毋免/轉斡/。	一直向前走過去，不用轉彎。	1.【副】朝同一個方向直行而去。例：一直向前行，毋免轉斡。It-ti̍t hiòng tsîng kiânn, m̄-bián tńg-uat. (一直向前走過去，不用轉彎。)　											
O	21	副	一直	it-ti̍t					阿/美/一直/咧/掃塗跤/，/攏/無/歇睏/。	阿美一直在掃地，都沒有休息。	2.【副】持續不間斷。例：阿美一直咧掃塗跤，攏無歇睏。A-bí it-ti̍t teh sàu thôo-kha, lóng bô hioh-khùn. (阿美一直在掃地，都沒有休息。)　											
O	22	副	一律	it-lu̍t			一概		伊/對/伊/的/學生/一律/攏/真/嚴格/。	他對他的學生一律都很嚴格。	【副】全部都一樣。例：伊對伊的學生一律攏真嚴格。I tuì i ê ha̍k-sing it-lu̍t lóng tsin giâm-keh. (他對他的學生一律都很嚴格。)　											
O	23	形	一致	it-tì			一概		伊/佮/我/的/看/法/並/無/一致/。	他跟我的看法並不一致。	【形】趨向相同。例：伊佮我的看法並無一致。I kah guá ê khuànn-huat pīng bô it-tì. (他跟我的看法並不一致。)　											
X	24	副	一面	tsi̍t-bīn					伊/一/面/做工/，/一/面/讀冊/。	他一邊工作，一邊讀書。	1.【副】描述兩種以上的事情同時進行著。例：伊一面做工，一面讀冊。I tsi̍t-bīn tsò-kang, tsi̍t-bīn tha̍k-tsheh. (他一邊工作，一邊讀書。)　											
X	24	形	一面	tsi̍t-bīn					一/面/抹壁/雙面/光/。	用抹刀抹牆壁，不但牆壁光滑，連抹刀也光滑。形容人很會做人，雙方面都能討好。	2.【形】片面的，單方面的。例：一面抹壁雙面光。Tsi̍t-bīn buah-piah siang-bīn kng. (用抹刀抹牆壁，不但牆壁光滑，連抹刀也光滑。形容人很會做人，雙方面都能討好。)　											
O	26	形	一屑仔	tsi̍t-sut-á			一寡仔、一點仔、一絲仔		伊/食/一屑仔/飯/爾爾/。	他吃一點點飯而已。	【形】一點點。形容體積很小或數量很少。例：伊食一屑仔飯爾爾。I tsia̍h tsi̍t-sut-á pn̄g niā-niā. (他吃一點點飯而已。)　											
O	27	名	一家伙仔	tsi̍t-ke-hué-á/tsi̍t-ke-hé-á					/一家伙仔/對/人/攏/真/客氣/。	他們一家子對人都很客氣。	【名】一家子。全家人、同一家人。例：一家伙仔對人攏真客氣。In tsi̍t-ke-hué-á tuì lâng lóng tsin khè-khì. (他們一家子對人都很客氣。)　											
O	28	形	一般	it-puann					一般/人/攏/真/愛/面子/。	一般人都很愛面子。	【形】普遍性的、平常的。例：一般人攏真愛面子。It-puann lâng lóng tsin ài bīn-tsú. (一般人都很愛面子。)　											
X	31	形	一粒一	it-lia̍p-it					這/擺/欲/替/伊/開刀/的/醫生/攏是/一/粒/一/的/。	這次為她開刀的醫生都是最好的。	1.【形】最好的、第一流的。例：這擺欲替伊開刀的醫生攏是一粒一的。Tsit pái beh thè i khui-to ê i-sing lóng sī it-lia̍p-it--ê. (這次為她開刀的醫生都是最好的。)　											
X	31	形	一粒一	it-lia̍p-it					阿英/佮/我/是/一/粒/一/的/好/朋友/。	阿英和我是最要好的朋友。	2.【形】最投契的。例：阿英佮我是一粒一的好朋友。A-ing kah guá sī it-lia̍p-it--ê hó-pîng-iú. (阿英和我是最要好的朋友。)　											
X	33	副	一睏仔	tsi̍t-khùn-á					伊/跤手/真/緊/，/穡頭/一/睏/仔/就/做/了/矣/。	他的動作真快，工作一下子就做完了。	1.【副】一陣子、一會兒。例：伊跤手真緊，穡頭一睏仔就做了矣。I kha-tshiú tsin kín, sit-thâu tsi̍t-khùn-á tō tsò liáu--ah. (他的動作真快，工作一下子就做完了。)　[近]一目𥍉仔、一下仔、一時仔											
X	33	副	一睏仔	tsi̍t-khùn-á					遮的/物件/伊/做/一/睏/仔/共/伊/食/了/。	這裡的東西他一口氣把它吃完。	2.【副】一口氣。例：遮的物件伊做一睏仔共伊食了。Tsia ê mi̍h-kiānn i tsò tsi̍t-khùn-á kā i tsia̍h-liáu. (這裡的東西他一口氣把它吃完。)　											
O	34	副	一概	it-khài			一律、一致、一切		眾人/的/意見/伊/一概/反對/。	眾人的意見他一概反對。	【副】一律、完全。例：眾人的意見伊一概反對。Tsìng-lâng ê ì-kiàn i it-khài huán-tuì. (眾人的意見他一概反對。)　											
O	35	名	一路	tsi̍t-lōo					祝/恁/一路/平安/。	祝福你們一路平安。	【名】沿途、路上。 例：祝恁一路平安。Tsiok lín tsi̍t-lōo pîng-an. (祝福你們一路平安。)　											
O	36	副	一寡	--tsi̍t-kuá			一點仔、一絲仔	足濟	加減/食/一寡/。	多少吃一點。	【副】一些、少許，也可以單說「寡」(--kuá)。例：加減食一寡。Ke-kiám tsia̍h--tsi̍t-kuá. (多少吃一點。)　											
O	37	副	一寡仔	tsi̍t-kuá-á			一屑仔、一點仔、淡薄仔、一疕仔		猶有/一寡仔/物件/無/整理/。	還有一些東西沒整理。	【副】一點點、一些些。例：猶有一寡仔物件無整理。Iáu ū tsi̍t-kuá-á mi̍h-kiānn bô tsíng-lí. (還有一些東西沒整理。)　											
O	38	時	一對時	tsi̍t tuì-sî					藥仔/食/落去/，/到今/一對時/矣/。	藥吃下，到現在二十四小時了。	【時】一晝夜、二十四小時。例：藥仔食落去，到今一對時矣。Io̍h-á tsia̍h--lo̍h, kàu-tann tsi̍t tuì-sî--ah. (藥吃下，到現在二十四小時了。)　											
O	39	副	一霎仔久	tsi̍t-tiap-á-kú			一目𥍉仔、一下仔、一目𥍉		伊/來/一霎仔久/就/轉去/矣/。	他來一下子就回去了。	【副】一瞬間、一下子。形容很短的時間。例：伊來一霎仔久就轉去矣。I lâi tsi̍t-tiap-á-kú tō tńg--khì--ah. (他來一下子就回去了。)　											
O	41	形	一點仔	tsi̍t-tiám-á			一屑仔、一寡、一疕仔、一絲仔		你/才/食/一點仔/物件/哪會/飽/？	你才吃一點點東西怎麼會飽？	【形】一點兒、一 點點。形容數量極少。例：你才食一點仔物件哪會飽？Lí tsiah tsia̍h tsi̍t-tiám-á mi̍h-kiānn ná ē pá? (你才吃一點點東西怎麼會飽？)　											
X	46	名	丁	ting					出丁/ 	生男孩子	2.【名】男子。例：出丁　tshut-ting(生男孩子)。											
O	47	數	七	tshit					七/个/人/ 	七個人	1.【數】數字。例：七个人　tshit ê lâng(七個人)。											
X	47	形	七	tshit					七老八老/ 	強調很老	2.【形】常和八連用成為詞組，用來表示強調或重複的意思。例：七老八老　tshit-lāu-peh-lāu(強調很老)、七除八扣　tshit-tû-peh-khàu(計算時一再折扣，自總數中盡量減除。)。											
O	48	形	九	【白】káu		【文】kiú			十/喙/九/尻川/。	形容人多嘴雜。	2.【形】形容多數。例：十喙九尻川。Tsa̍p tshuì káu kha-tshng. (形容人多嘴雜。)　											
O	50	動	了	liáu					飯/食/了/才/食/果子/。	飯吃完再吃水果。	1.【動】表示動作結束、完畢。或是表示動作的時間狀況。例：飯食了才食果子。Pn̄g tsia̍h-liáu tsiah tsia̍h kué-tsí. (飯吃完再吃水果。)　[近]了了、好、完											
O	50	動	了	liáu					了/力/ 	白費力氣	3.【動】白費。例：了力　liáu la̍t(白費力氣)、了工　liáu-kang(白費功夫)。											
X	50	動	了	liáu					了錢/生理/無/人/做/。	賠錢生意沒人做。	4.【動】賠錢、損失。例：了錢生理無人做。Liáu-tsînn sing-lí bô lâng tsò. (賠錢生意沒人做。)　											
O	50	助	了	liáu					講/了/真/清楚/。	說得很清楚。	5.【助】用於動詞及補語間，表示動作得到補語的結果。例：講了真清楚。Kóng liáu tsin tshing-tshó. (說得很清楚。)；洗了無清氣。Sé liáu bô tshing-khì. (洗得不乾淨。)　											
X	53	名	人	【替】lâng	儂	jîn/lîn			做/牛/著/拖/，/做人/著/磨/。	做牛得要拖犁耕田，做人得受生活的折磨。	1.【名】具有高度智慧和靈性，能使用語言進行思維溝通，且能製造並使用工具的高等動物。例：做牛著拖，做人著磨。Tsò gû tio̍h thua, tsò-lâng tio̍h buâ. (做牛得要拖犁耕田，做人得受生活的折磨。)　											
O	53	名	人	【替】lâng	儂	jîn/lîn			莫/共/人/講/！	不要跟別人說！	2.【名】人家、別人。例：莫共人講！Mài kā lâng kóng! (不要跟別人說！)；予人看無　hōo lâng khuànn-bô(讓別人瞧不起)。											
O	53	名	人	【替】lâng	儂	jîn/lîn			好/人/ 	讀書人	3.【名】具有某種身份或特徵的人。例：好人　hó lâng、讀冊人　tha̍k-tsheh-lâng(讀書人)、中人　tiong-lâng(仲介者)。											
O	53	代	人	【替】lâng	儂	jîn/lîn			人/毋管/啦/！	我不管啦！	4.【代】借稱自己。例：人毋管啦！Lâng m̄-kuán--lah! (我不管啦！)　											
O	53	名	人	【替】lâng	儂	jîn/lîn			伊/人/真/好/。	他待人很好。	5.【名】與人有關的事，如人的品格、個性、身體狀況等。例：伊人真好。I lâng tsin hó. (他待人很好。)；人無爽快　lâng bô sóng-khuài(身體不舒服)。											
X	54	動	入	ji̍p/li̍p				出	入去/ 	進去	1.【動】進。從外面進到裡面。例：入去　ji̍p--khì(進去)、入來　ji̍p--lâi(進來)。[反]退											
O	54	動	入	ji̍p/li̍p				出	入/被/ 	把被子裝進被套裡	2.【動】裝進。例：入被　ji̍p phuē(把被子裝進被套裡)。											
X	54	動	入	ji̍p/li̍p				出	收入/ 	入帳	3.【動】收進帳款。例：收入　siu-ji̍p、入數　ji̍p siàu(入帳)。											
X	55	數	八	【文】pat		【白】peh/pueh			三八/婦女/節/ 	三八婦女節	【數】數字。例：三八婦女節　sam pat hū-lí tseh(三八婦女節)。											
O	56	數	八	【白】peh/pueh		【文】pat			八/个/人/ 	八個人	【數】數字。例：八个人　peh ê lâng(八個人)。	八	pueh	pueh	pueh	peh	peh	peh	pueh	pueh	pueh	peh
X	57	名	刀	to			刀仔		鉸刀/ 	剪刀	1.【名】供切、削、剪、刻、割、斬等用途的工具。例：鉸刀　ka-to(剪刀)。[近]刀仔	刀(～仔)	to	to	to	to	tor	tor	to	to	to	to
O	57	量	刀	to			刀仔		伊/昨暝/去/予/人/刣/幾/若/刀/。	他昨晚被人砍了好幾刀。	2.【量】計算切割次數的單位。例：伊昨暝去予人刣幾若刀。I tsa-mê khì hōo lâng thâi kuí-nā to. (他昨晚被人砍了好幾刀。)　	刀(～仔)	to	to	to	to	tor	tor	to	to	to	to
O	57	量	刀	to			刀仔		伊/欲/買/一/刀/紙/。	他想買一刀紙。	3.【量】計算紙張的單位；通常一百張為一刀。例：伊欲買一刀紙。I beh bé tsi̍t to tsuá. (他想買一刀紙。)　	刀(～仔)	to	to	to	to	tor	tor	to	to	to	to
O	58	動	刁	tiau		【替】thiau			/頭家/真/𠢕/共/人/刁/。	他們的老闆很會為難人。	1.【動】刁難、為難。例：頭家真𠢕共人刁。In thâu-ke tsin gâu kā lâng tiau. (他們的老闆很會為難人。)　[近]刁古董、刁難											
X	58	動	刁	tiau		【替】thiau			刁故意/ 	故意	2.【動】故意。例：刁故意　tiau-kòo-ì(故意)、刁工　tiau-kang(故意)。											
O	59	名	力	【白】la̍t		【文】li̍k、【替】lí	氣力		無/力/ 	沒有力氣	【名】力量、氣力。例：無力　bô la̍t(沒有力氣)、氣力　khuì-la̍t(力氣)。											
O	61	數	十	【白】tsa̍p		【文】si̍p			十/个/人/ 	十個人	1.【數】數目。例：十个人　tsa̍p ê lâng(十個人)。											
O	61	形	十	【白】tsa̍p		【文】si̍p			十/喙/九/尻川/ 	人多嘴雜	2.【形】比喻很多、完全。例：十喙九尻川　tsa̍p-tshuì káu kha-tshng(人多嘴雜)。											
O	62	數	十	【文】si̍p		【白】tsa̍p			十/五/音/ 	十五音	1.【數】數字。例：十五音　si̍p-ngóo-im(十五音)、十八仔　si̍p-pat-á(骰子)。											
O	62	形	十	【文】si̍p		【白】tsa̍p			十全/十/美/ 	十分的完美	2.【形】比喻完全、非常。例：十全十美　si̍p-tsuân-si̍p-bí(十分的完美)。											
X	62	形	十	【文】si̍p		【白】tsa̍p			十字路/ 	十字路口	3.【形】像十的字形的。例：十字路　si̍p-jī-lōo(十字路口)、紅十字會　âng-si̍p-jī-huē(國際救援組織)。											
O	63	動	卜	【替】poh		pok			卜/看覓/咧/！	試試看囉！	【動】試試看。例：卜看覓咧！Poh khuànn-māi--leh! (試試看囉！)　											
O	64	動	卜	pok		【替】poh			我/來/卜/一/下/仔/卦/咧/。	我來卜一下卦。	【動】卜卦、占卜。例：我來卜一下仔卦咧。Guá lâi pok tsi̍t-ē-á kuà--leh. (我來卜一下卦。)　											
O	65	副	又	iū			閣		食/又/欲/食/，/穡/又/毋/做/，/真/害/！	吃又要吃，工作又不肯做，真糟糕！	【副】再、復。例：食又欲食，穡又毋做，真害！Tsia̍h iū beh tsia̍h, sit iū m̄ tsò, tsin hāi! (吃又要吃，工作又不肯做，真糟糕！)　											
O	67	副	了了	liáu-liáu			了		鳥鼠/予/貓/掠/了了/矣/。	老鼠被貓抓光光了。	【副】光光、窮盡、完全沒有了。當作動詞補語。例：鳥鼠予貓掠了了矣。Niau-tshí hōo niau lia̍h-liáu-liáu--ah. (老鼠被貓抓光光了。)　											
O	68	形	了了	--liáu-liáu					這/个/袂使/，/彼个/毋通/，/全/你/的/意見/了了/。	這個不行，那個不可以，你的意見真多。	【形】全都是。表示數量多或加強語氣。例：這个袂使，彼个毋通，全你的意見了了。Tsit ê bē-sái, hit ê m̄-thang, tsuân lí ê ì-kiàn--liáu-liáu. (這個不行，那個不可以，你的意見真多。)　											
O	69	名	人人	lâng-lâng	儂儂				恁/新婦/人人/呵咾/。	你媳婦人人稱讚。	【名】每一個人。例：恁新婦人人呵咾。Lín sin-pū lâng-lâng o-ló. (你媳婦人人稱讚。)　											
O	71	名	十二生相	tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn	十二生肖				時機/誠/䆀/，/害/我/十二生相/變/透/透/嘛/變/無/撚/。	時機很不好，害我各種行業都做過了也沒輒。比喻一直換工作都沒出路。	2.【名】各行各業。例：時機誠䆀，害我十二生相變透透嘛變無撚。Sî-ki tsiânn bái, hāi guá tsa̍p-jī senn-siùnn piàn-thàu-thàu mā piàn-bô-lián. (時機很不好，害我各種行業都做過了也沒輒。比喻一直換工作都沒出路。)　											
O	73	名	二九暝	Jī-káu-mê/Lī-káu-mî					二九暝/家/家/戶/戶/攏/咧/圍爐/。	農曆新年除夕晚上家家戶戶都在圍爐。	【名】除夕、大年夜。例：二九暝家家戶戶攏咧圍爐。Jī-káu-mê ke-ke-hōo-hōo lóng leh uî-lôo. (農曆新年除夕晚上家家戶戶都在圍爐。)　											
O	75	形	十八變	tsa̍p-peh-piàn/tsa̍p-pueh-piàn					查某囡仔/十八變/。	女大十八變。	【形】十八種變化。用來比喻或形容事物變化多端，或是借用佛家語，比喻本領高強。例：查某囡仔十八變。Tsa-bóo-gín-á tsa̍p-peh-piàn. (女大十八變。)　											
O	77	動	了工	liáu-kang			無彩工		了工/閣/蝕本/。	白費工夫又賠錢。比喻賠了夫人又折兵。	【動】白費工夫。例：了工閣蝕本。Liáu-kang koh si̍h-pún. (白費工夫又賠錢。比喻賠了夫人又折兵。)　											
O	78	名	人工	lâng-kang	儂工				割稻仔/的/人工/愈/濟/就/愈/緊/割/了/。	越多人割稻就越快完工。	1.【名】人力、人手。人的勞動力或是指可以工作的人。例：割稻仔的人工愈濟就愈緊割了。Kuah-tiū-á ê lâng-kang jú tsē tō jú kín kuah-liáu. (越多人割稻就越快完工。)　											
O	78	名	人工	lâng-kang	儂工				臺/灣/現此時/的/人工/真/貴/。	臺灣現在的工資很貴。	2.【名】工資。從事工作所得的報酬。例：臺灣現此時的人工真貴。Tâi-uân hiān-tshú-sî ê lâng-kang tsin kuì. (臺灣現在的工資很貴。)　[近]工資											
O	79	名	人才	lâng-tsâi	儂才				恁/囝婿/的/人才/生做/袂䆀/。	你女婿外表長得不錯。	【名】 外表、儀容。例：恁囝婿的人才生做袂䆀。Lín kiánn-sài ê lâng-tsâi senn-tsò bē-bái. (你女婿外表長得不錯。)　											
X	81	副	刁工	thiau-kang	挑工				我/刁/工/來/看/你/。	我專程來看你。	1.【副】專程、特地。例：我刁工來看你。Guá thiau-kang lâi khuànn--lí. (我專程來看你。)　[近]專工											
X	81	副	刁工	thiau-kang	挑工				你/愈/講/，/伊/愈/刁/工/。	你越說，他越是故意和你唱反調。	2.【副】故意。例：你愈講，伊愈刁工。Lí jú kóng, i jú thiau-kang. (你越說，他越是故意和你唱反調。)　[近]刁故意、刁意故、故意[反]無張持、無細膩											
O	82	名	人中	jîn-tiong/lîn-tiong					算命/的/講/，/人中/長/的/人/較/長歲壽/。	算命的說，人中長的人壽命比較長。	【名】人臉部鼻子下，嘴脣上方凹下部分。例：算命的講，人中長的人較長歲壽。Sǹg-miā--ê kóng, jîn-tiong tn̂g ê lâng khah tn̂g-huè-siū. (算命的說，人中長的人壽命比較長。)　											
O	83	名	七孔	tshit-khóng			七竅		人/有/七孔/。	人有七竅。	【名】七竅。指人臉部的七個孔穴，包括兩眼、兩耳、兩鼻孔和嘴巴。例：人有七孔。Lâng ū tshit-khóng. (人有七竅。)　											
O	85	名	二手	jī-tshiú/lī-tshiú					伊/是/二手/，/毋是/頭手/。	他是助手，不是師傅。	1.【名】副手、助手、助理。技術工作中的助手、協助處理事務的人。例：伊是二手，毋是頭手。I sī jī-tshiú, m̄ sī thâu-tshiú. (他是助手，不是師傅。)　[近]副手、助手、助理[反]師傅、頭手											
O	85	名	二手	jī-tshiú/lī-tshiú					物件/買/二手/的/較/俗/。	東西買中古的比較便宜。	2.【名】中古貨。已經使用過，又再出售的貨品。例：物件買二手的較俗。Mi̍h-kiānn bé jī-tshiú--ê khah sio̍k. (東西買中古的比較便宜。)　[近]中古											
X	87	名	八仙	pat-sian					八仙綵/ 	繡有八仙的紅彩，在喜慶時掛在門楣上	【名】神話傳說中的八位仙人，漢鍾離、張果老、韓湘子、鐵拐李、曹國舅、呂洞賓、藍采和、何仙姑八人。例：八仙綵　pat-sian-tshái(繡有八仙的紅彩，在喜慶時掛在門楣上)。											
O	91	動	刁古董	tiau-kóo-tóng			刁、刁難		你/莫/共/伊/刁古董/。	你不要為難他。	【動】刻意作弄、為難別人。例：你莫共伊刁古董。Lí mài kā i tiau-kóo-tóng. (你不要為難他。)　											
O	92	動	了本	liáu-pún			塌本、塌錢		伊/一/禮拜/至少/愛/賣/三百/个/，/才/袂/了本/。	他一星期至少要賣三百個，才不會虧本。	【動】蝕本、虧本。例：伊一禮拜至少愛賣三百个，才袂了本。I tsi̍t lé-pài tsì-tsiò ài bē sann pah ê, tsiah bē liáu-pún. (他一星期至少要賣三百個，才不會虧本。)　											
O	94	名	人生	jîn-sing/lîn-sing					人生/短/短/仔/ 	人生苦短	【名】人的一生、生命歷程。例：人生短短仔　jîn-sing té-té--ah(人生苦短)。											
O	95	名	刀石	to-tsio̍h					刀石/提/來/磨/刀仔/。	磨刀石拿來磨刀子。	【名】磨刀石。例：刀石提來磨刀仔。To-tsio̍h the̍h-lâi buâ to-á. (磨刀石拿來磨刀子。)　											
O	96	形	十全	tsa̍p-tsn̂g			完全、齊全	欠點	媠/，/媠/無/十全/；/䆀/，/䆀/無/加/圇/。	人不會是十全十美的。	【形】完滿、齊全。完美無缺憾。例：媠，媠無十全；䆀，䆀無加圇。Suí, suí bô tsa̍p-tsn̂g; bái, bái bô ka-nn̂g. (人不會是十全十美的。)　											
O	97	名	十全	si̍p-tsuân					十全/大/補/湯/ 	合人參、白朮、茯苓、甘草、熟地、白芍、當歸、川芎、黃茋、肉桂等十種藥材的補藥。	1.【名】用於中醫藥名。例：十全大補湯　si̍p-tsuân tāi póo thng(合人參、白朮、茯苓、甘草、熟地、白芍、當歸、川芎、黃茋、肉桂等十種藥材的補藥。)　											
O	98	名	八字	peh-jī/pueh-lī			生時日月		算命/仙/的/講//兩/人/的/八字/袂合/。	算命先生說他們兩人的八字不合。	【名】中國傳統命相學家，用人出生的年、月、日、時，以天干、地支配合成八個字，來推斷一生的命運。例：算命仙的講兩人的八字袂合。Sǹg-miā sian--ê kóng in nn̄g lâng ê peh-jī bē-ha̍h. (算命先生說他們兩人的八字不合。)　											
X	103	時	七早八早	tshit-tsá-peh-tsá/tshit-tsá-pueh-tsá					七/早/八/早/，/你/就/想欲/歇睏/？	時間還早，你就想休息？	2.【時】形容時間還早。例：七早八早，你就想欲歇睏？Tshit-tsá-peh-tsá, lí tō siūnn-beh hioh-khùn? (時間還早，你就想休息？)　											
